Timestamp;HeadsetVelocityX;HeadsetVelocityY;HeadsetVelocityZ;LeftControllerVelocityX;LeftControllerVelocityY;LeftControllerVelocityZ;RightControllerVelocityX;RightControllerVelocityY;RightControllerVelocityZ
0;-0,09811678;-0,01539649;-0,0420491;0,09832993;0,01829113;-0,0601896;-0,03881408;0,04108227;-0,2751021
1;0,06240558;-0,02297066;-0,04325033;0,05595513;0,02109337;0,03132283;0,02618583;0,00876066;-0,01370809
2;-0,01903153;0,007305044;0,06849436;-0,0711997;0,04411123;0,06058376;0,002157776;0,03082081;0,1038489
3;0,09522913;0,02299511;0,1252343;0,005601209;0,01525308;0,06277139;0,07473732;0,01147189;0,1627409
4;-0,0134756;-0,01419343;-0,003423248;-0,01574274;-0,000690258;0,00109147;-0,07038367;0,006799042;0,09667926
5;0,03394657;0,00054521;0,00307615;0,03277608;-0,02047176;-0,01241122;0,02956061;-0,01353352;0,003739525
6;0,01095186;0,001034996;-0,008065056;0,002773265;-0,001548217;-0,0002074269;0,02510988;-0,005132211;-0,01055952
7;0,01504572;-0,01754967;-0,00453097;0,008238901;-0,008481347;-0,01817705;0,001091006;0,001939566;-0,02058875
8;-0,001511767;0,003476058;0,01300077;0,007573938;-0,006282339;0,008938132;-0,0187527;0,003671056;0,06219282
9;-0,0163084;-0,01132855;0,0006103928;-0,04084937;0,001596412;0,01320988;-0,04191969;0,05784646;0,06728194
10;0,01066054;0,001576933;-0,01090321;0,04993869;-0,005472383;-0,01535485;0,01302248;-0,01525789;0,001363834
11;-0,04498182;0,01049386;0,03677481;0,004018037;-0,00087519;0,01431861;-0,03696205;0,007969278;-0,03747538
12;0,03274847;-0,001254125;-0,01391375;-0,003604277;-0,0007848947;-0,01901983;-0,004612322;-0,01353943;-0,01636761
13;-0,1087726;0,03833011;-0,01679445;-0,02089882;0,03731627;-0,03842916;-0,02187325;0,007429175;-0,00757827
14;0,001325391;-0,002684875;0,01122959;-0,004991789;-0,007526172;-0,0004506754;0,006439438;-0,004508885;0,0004751802
15;0,1106754;0,02541707;0,01059613;-0,0001464277;-0,003285954;-0,0005750419;0,0009212407;-0,006973051;0,0007468077
16;-0,01187;-0,0005673809;0,0001638742;0,005791476;0,001031602;0,002542468;0,0007033158;-0,002871291;-0,002940064
17;0,002857487;0,001761907;0,0003522746;0,001237505;-0,00391725;-8,873684E-05;0,0004714813;-0,001300048;-0,0002116855
18;0,002378651;-0,001186102;0,001425686;-0,00129327;-0,002483939;-0,001162466;-0,004845399;0,001994027;-0,004288877
19;0,06160204;-0,007488602;-0,02968826;5,622878E-05;-0,01148995;-0,001690076;0,002865525;0,004009915;-0,004416904
20;-0,01090136;0,0164763;0,007182265;0,0006321459;0,0006993047;-0,001224849;-0,0003437893;0,000801642;0,001586228
21;-0,01773524;-0,01222668;0,007180374;-0,005788381;0,00250052;-0,01725682;-0,003479711;0,001370975;-0,002078019
22;0,175917;0,1478364;-0,1137663;0,06297608;0,004538836;-0,06092982;0,03898963;0,01041714;-0,0338813
23;-0,1564811;-0,07174861;0,09234943;0,04132657;0,2757306;0,5407753;-0,009929148;0,003975972;-0,04996378
24;-0,04306104;0,01666049;-0,0009205601;-0,0241292;-0,03108313;-0,00348228;-0,0270701;0,03983031;0,03019182
25;-0,03819865;0,02441583;-0,01801839;-0,2159063;0,01277123;-0,1037006;-0,4314527;0,3443931;0,2357807
26;-0,01720621;0,01453926;-0,04768048;-0,08344228;0,002358404;-0,08065805;-0,1247027;0,02612841;-0,1458935
27;-0,06360577;-0,06974138;0,04578314;-0,02818468;-0,01967328;0,06645074;0,5516982;-0,4786737;-0,06662709
28;-0,01187727;-0,006987517;0,01836973;0,009123072;0,01084836;0,0508398;0,03182602;-0,02365737;0,03264008
29;0,004258398;0,04363503;-0,01730639;0,001263756;-0,001868523;0,004003979;0,05579086;-0,014089;0,01634437
30;0,3158087;0,03501435;0,172708;0,3493066;0,01132919;0,1050916;0,3702781;0,03283135;0,1768115
31;-0,09645599;0,004124741;-0,07291099;-0,08616375;0,02727624;-0,03419884;-0,1000989;-0,01021364;-0,04806007
32;-0,01307318;-0,008356743;-0,05823706;-0,006089559;-0,007860383;-0,06617551;-0,05411794;-0,009373873;-0,09371737
33;-0,007646811;0,005915588;0,005752672;0,001995236;-0,001750878;0,003003478;-0,007814143;0,006289562;-0,007186249
34;-0,0317355;-0,007782239;-0,05127452;-0,001618152;-0,01355805;-0,03180791;-0,02727876;0,003542723;-0,03798144
35;0,009362989;-0,01222281;0,04229065;-0,001756553;-0,001583968;-0,002878884;-0,02233226;0,1277339;-0,01984725
36;-0,008452691;-0,002072992;0,005734007;-0,04022764;-0,04639304;-0,005607794;0,001589731;-0,01466839;0,006777678
37;0,004922636;-0,004047336;-0,003891221;0,008307411;0,003996533;-0,004196571;0,007328388;-0,005190412;-0,0021348
38;0,01282295;0,04214318;0,0196517;0,09273709;-0,01230677;0,04301259;0,1853359;0,1134624;0,01235394
39;0,00597987;-0,01865711;0,02484015;0,01494484;0,0006196088;0,01350285;0,05014851;0,05169431;0,03568774
40;-0,02130495;0,008703845;-0,02413923;0,01685567;0,01264069;-0,0009007666;0,005661885;-0,003714325;-0,01294451
41;-0,02787737;0,004422811;-0,01383329;-0,0503447;0,007189204;0,0172003;-0,01497128;-0,01110826;0,01034409
42;0,004113633;-0,0007659274;0,006588374;0,01821659;0,02573172;0,0132655;0,01413254;-0,0003184193;0,01092522
43;0,1663694;0,0004354256;0,08935136;0,007723468;0,001220899;-0,02465064;0,1931447;0,1382177;0,04748487
44;0,06659994;0,02639797;-0,02432713;0,07100514;-0,04594131;0,05230693;0,08256169;-0,02649152;-0,104229
45;-0,01835582;0,01635951;0,001098995;0,004182346;0,006521696;0,01556768;-0,03837661;0,01473546;-0,006124187
46;-0,001998907;-0,002504205;-0,004984052;-0,001243811;0,001766211;-0,01048532;-0,008132447;-0,01169182;-0,001737189
47;-0,01866972;-0,0007605904;-0,002381118;-0,004745144;-0,00129044;-0,006848518;-0,05286744;-0,02699669;0,01392991
48;-0,01366512;-0,0102395;-0,006674935;0,004096641;0,0028967;-0,004493463;-0,0007020707;-0,0007241749;0,002524086
49;0,02914417;0,0060632;-0,01347525;0,00545158;-0,00677552;-0,02180844;-0,05153455;0,0113208;0,0230338
50;-0,009500423;0,01801823;-0,02357421;-0,001353517;-0,002270555;-0,01852674;0,01573907;0,004971139;-0,002595227
51;0,02315605;0,01184483;0,01821122;0,006173401;-4,218245E-05;0,002321089;-0,002295252;0,004192935;-0,02633239
52;0,08816547;-0,08053944;-0,06248441;0,07118448;-0,0144372;-0,08606645;-0,04625642;-0,1015553;-0,0565553
53;0,204136;-0,1626247;0,1093926;0,1191827;-0,002520118;0,1012365;0,1489586;-0,1277803;-0,03883896
54;0,00827591;-0,07717873;-0,03436201;0,06132314;-0,03437832;0,01081579;0,01657391;0,1151665;0,2451148
55;-0,02455923;0,01160443;0,001273631;-0,02138847;-0,009327881;0,007140859;0,06318701;0,02372897;-0,0348815
56;-0,5545903;0,2475609;-0,066191;-0,1885509;0,1025005;-0,145166;-0,3694796;0,1537042;0,06689442
57;0,001075401;-0,003140043;0,00612904;0,05111717;-0,01442377;0,03839319;0,002526288;0,02474592;0,0132771
58;-0,01290571;-0,007249966;-0,04504736;0,03074388;-0,01990959;-0,03748802;-0,01470215;0,02154447;-0,0156619
59;-0,006695441;-0,002878752;0,02148127;0,01570112;0,001073144;0,01508657;-0,03475688;0,0672163;0,008923705
60;0,01921382;-0,005806385;0,01006871;-0,1493343;0,07707826;0,07687323;0,05313764;-0,0107208;-0,0169453
61;0,003930642;0,01447717;0,01580519;0,05086138;-0,01476621;0,1269356;0,05811976;-0,01064323;-0,02108031
62;-0,004626703;-0,01123449;-0,003912271;-0,01493961;0,00107831;-0,02599125;-0,01496198;-0,002934007;-0,007090517
63;-0,08469715;0,003972339;-0,04507212;-0,07671845;-0,002271123;0,01948211;-0,04333219;-0,031481;-0,02664742
64;-0,008318649;-0,008319735;-0,00127533;0,01360207;0,02084276;0,009539904;-0,0091662;0,002709559;-0,002835484
65;-0,02949653;0,0008177214;-0,01965639;-0,0281475;0,01084333;-0,02163661;-0,004907659;0,01293022;-0,007346715
66;0,01418256;0,0210258;0,03663855;0,1212225;0,1158259;-0,1370532;0,01433314;-0,0154452;0,002376354
67;-0,0007813854;-0,002705046;0,0005402505;0,0244061;0,1372724;0,0375596;-0,002209771;-0,006710595;-0,01013525
68;0,006445335;-0,001488051;0,02713313;0,000923543;-0,00124581;0,00548178;-0,002100141;-0,04192496;0,02747054
69;0,01263792;0,001742274;0,01415919;-0,004666805;0,005338395;0,002015845;0,0027915;-0,0181351;0,00254475
70;0,06812496;0,03350088;-0,03040289;0,04616044;-0,0106453;-0,01524135;0,1299297;0,1130655;-0,08292241
71;-0,05011382;-0,003040879;0,01588663;-0,01131386;-0,005323668;-0,004162044;-0,04343155;-0,0134923;0,02075805
72;0,01117874;-0,000848803;-0,006184591;0,003671073;0,002308744;-0,0004328895;0,01904475;-0,005661516;-0,006660982
73;0,03540231;-0,007806864;0,008986025;0,01906303;-0,001208205;-0,005763265;0,08864149;-0,1089581;-0,01919187
74;0,0769398;-0,0003726683;0,01337808;0,07015885;0,04592732;0,05151936;-0,03050614;-0,03412345;-0,04544527
75;0,1307159;-0,2967066;-0,07442486;0,06677406;-0,06657828;-0,08654123;0,1544092;-0,1907596;0,1136938
76;0,03208707;-0,0282182;0,01025252;0,05678955;0,01980992;0,0396377;0,05295117;0,04220959;-0,06786747
77;-0,2025983;0,1438871;0,1250986;0,03997325;-0,00738341;0,06024037;-0,03531284;0,1612598;0,11367
78;-0,02499229;0,005450914;-0,07875434;0,0001850619;-0,004794785;-0,03485893;-0,01767919;0,02129053;-0,05260594
79;0,02836324;-0,002598829;0,001730059;-0,002272906;-0,006830474;0,001316512;-0,005543882;0,002778353;0,01485564
80;-0,01853021;0,0005790692;0,02854877;-0,002832833;-0,005281813;0,006944444;-0,01288045;-0,005790692;0,01730847
81;-0,007351554;-0,01560452;-0,0158743;0,01090475;-0,003716994;-0,004144148;0,01644331;-0,002620737;-0,01307157
82;0,01001056;-0,03850754;-0,0227403;-0,002397688;-0,01305124;0,07408174;0,02739592;-0,01864585;-0,05078081
83;0,005895065;-0,005266222;0,02504667;0,0008605778;-0,002697333;0,0002825778;0,006851441;-0,004418489;0,01626749
84;-0,002306106;0,0002847949;0,003428009;-0,001225037;-0,00209408;0,005871801;-0,002810256;-0,00120619;0,002602942
85;-0,004860363;0,0017777;0,003681462;0,002668686;-0,006264682;-0,003192167;0,0004273317;-0,0004700648;-0,001574717
86;0,02226416;-0,00230969;-0,02020332;0,08267913;0,0493136;-0,06723739;0,07790139;0,01484924;0,02060622
87;0,002813907;0,008716249;0,0007351118;3,967781E-05;-0,03255725;-0,06370111;-0,1638656;-0,02099278;0,003449824
88;0,0002567615;-0,0453027;-0,02034158;0,02448335;0,01645874;-0,03081247;-0,02265352;-0,06204746;-0,0008558718
89;0,02916195;-0,006489089;-0,01507639;-0,0008970843;-0,04019797;-0,01182003;0,02522365;-0,0004039565;-0,02900966
90;-0,01006404;-0,002354037;0,0118697;-0,007027871;-0,2129077;0,05565906;0,0009373347;0,04014703;-0,04641305
91;-0,09865423;0,04678297;-0,01971647;-0,09812139;0,06810062;0,04159516;-0,04905058;0,02162424;0,001846024
92;0,0232392;-0,01173785;-0,01225686;0,01660271;-0,0111422;0,01263024;0,05405654;0,006709848;-0,03068595
93;-0,03720959;-0,03102297;0,05229008;-0,007774152;0,01642545;0,006396701;0,007755742;0,007450364;7,363732E-05
94;0,02121168;0,001863073;-0,008964433;0,008545136;0,009597387;0,01228837;-0,03212091;-0,01366538;0,0102266
95;-0,03631913;-0,02480173;-0,008079824;0,001537733;-0,009788117;-0,01870245;-0,01836456;0,0172691;0,01240087
96;0,02618051;0,002694422;0,02986818;-0,01073264;0,005672015;0,0715266;-0,01975525;-0,003681232;0,01347747
97;0,0564028;0,04282619;-0,05319802;-0,02409807;0,0244161;0,03605691;0,08390167;0,04700537;0,01951849
98;-0,007289467;0,01276136;-0,007507087;-0,04532878;0,02112988;0,04117113;0,03148438;-0,001132262;-0,001792038
99;-0,001073144;0,0202493;-0,001906681;0,004675307;0,001809658;-0,005904974;0,003168242;0,01502617;-0,004552019
100;-0,03551865;-0,01739724;-0,01751563;-0,02346779;0,006430521;-0,04066009;-0,0215647;0,003465855;-0,02890231
101;0,00417502;-0,005199611;0,003703751;-0,01490354;-0,008110357;0,01382604;0,015042;0,01741265;0,02068832
102;-0,01089018;-0,008605537;0,01894135;-0,02933686;0,003658846;-0,007004259;-0,06429985;0,01693815;0,04432086
103;-0,03420721;0,002549886;-0,02695839;-0,04463373;0,01162473;-0,03936439;-0,03734037;0,1000208;-0,07799473
104;-0,01689581;-0,03069538;-0,02645765;-0,1426369;-0,01096082;-0,213604;-0,124017;-0,2802426;-0,174945
105;0,02311843;0,02185438;-0,009117696;0,02284074;0,04637623;0,07367115;0,119351;-0,0001972726;-0,0362124
107;-0,01782535;-0,01061661;0,02378807;-0,002546785;-0,01516905;0,009725454;0,03853784;-0,01329654;0,01121144
108;0,002399655;0,00619946;0,003926852;0,05989016;-0,04002237;0,01744336;-0,02026317;-0,002656911;0,02045189
109;0,008012851;0,0649547;-0,0008930111;0,01268139;0,08841126;0,1733736;-0,00134637;0,002572547;-0,02154086
110;-0,1128724;-0,1061535;-0,05107694;-0,08216602;-0,1550998;-0,007408782;-0,08810379;0,01436412;-0,03913707
111;0,01171116;0,02473631;0,001771559;-0,03189141;0,004621446;0,001431876;-0,01820176;-0,004604297;-0,01050329
112;-0,05014528;-0,01149806;0,002258217;-0,008969268;-0,0206304;-0,008366968;-0,03907774;0,007627683;-0,01126975
113;-0,003425754;-0,01089303;0,004192212;-0,02295472;-0,001751904;-0,001922108;-0,05225792;-0,03326884;-0,02361602
114;0,007051039;0,00921897;0,007418653;-0,01075967;-0,002374201;0,01842531;0,009479964;0,02322002;-0,00543351
115;0,03478333;0,009161358;-0,01116607;0,00528589;0,002863457;-2,343603E-05;0,01789661;0,01528029;-0,008932324
116;0,1234199;-0,0196778;0,04723043;0,04070633;0,01451238;0,04483432;0,03699872;-0,03925382;0,07305595
117;-0,08214004;-0,001318573;-0,01450591;0,101102;0,02146534;-0,03513591;0,03685797;-0,003142314;-0,02109503
118;-0,004736715;-0,006528956;0,008671673;0,00982565;-0,002920849;0,008631001;-0,03063348;0,0145527;0,02611797
119;-0,007678667;-0,002643127;0,01674795;-0,005420111;0,001580777;0,01012313;-0,004671154;0,02874295;0,004076238
120;-0,003183894;0,01216098;0,01503988;-0,001155636;0,00142364;-0,00082331;0,002614653;-0,02008533;0,01251045
121;-0,02456262;-0,01265565;-0,01563451;0,004923522;-0,003096235;-0,02004199;-0,002236523;0,0006260148;-0,007097654
122;-0,05492016;0,03230146;-0,0567109;-0,009633733;0,03282163;-0,00792294;-0,01337189;-0,006523395;-0,02072883
123;0,01537623;0,002834329;0,01382366;0,008256055;-0,001743542;-0,01143609;0,005774945;-0,004586459;-0,01814507
124;0,003503457;0,0005588848;0,01020903;-0,03524102;-0,03202327;-0,01798858;2,815278E-05;0,04773877;-0,03278026
125;0,008068544;0,01067186;-0,00516514;0,07690547;0,02597278;-0,03007494;-0,007166652;0,005637636;-0,01616834
126;0,09987146;0,01354847;-0,0132186;0,256192;0,04516444;0,2497347;0,1325407;0,04109387;0,04368433
127;-0,04552378;-0,08640102;0,02840314;-0,2115496;-0,05333842;-0,09822418;-0,03331781;-0,02899688;-0,02414793
128;0,03267526;-0,008837817;-0,02245412;0,04952395;-0,01232146;0,05585629;0,1154338;-0,002196584;-0,07446505
129;0,01026758;-0,003910657;0,02867569;0,007840277;0,01388957;-0,06270641;0,02735037;-0,1203159;0,01305097
130;0,2058607;-0,06692985;0,07507461;0,136243;0,02229843;-0,1443224;-0,0228278;-0,4380819;-0,1008672
131;-0,06771442;-0,1043341;0,02680886;-0,2003395;-0,1602525;-0,0171655;0,01426528;0,02966354;0,2135537
132;-0,05291307;-0,07335653;0,05192592;-0,08287602;0,01536643;-0,02052425;-0,1766872;0,06664495;0,1280636
133;0,04165375;0,1298261;-0,1253508;-0,08302684;0,004698569;-0,08135265;-0,03342963;0,007620004;-0,00126675
134;0,02853126;0,002908318;-0,04583932;0,01122787;0,03122476;0,01057708;0,05682015;-0,02380414;-0,03545944
135;0,05213538;-0,03588983;-0,05374199;0,06560908;-0,01064492;0,03162213;0,04603172;-0,02636566;-0,03274179
136;0,01810158;0,03333613;-0,05380971;0,04809391;0,01351695;-0,08269806;0,1491203;0,02503834;-0,1548024
137;-0,05605748;0,01033818;0,0271426;0,01075314;0,01144193;-0,0631684;-0,05788267;-0,005320753;0,04318346
138;0,07868315;0,02121222;0,002367751;0,1440424;-0,007710318;-0,09517672;0,1426895;-0,006025896;-0,1962323
139;-0,03576136;-0,09013559;-0,0008292264;0,0004222799;-0,1313388;-0,09567245;0,004381833;-0,01933152;-0,01584771
140;-0,1040222;-0,1047552;0,0539832;-0,09371138;-0,04184563;0,008730479;-0,1179254;-0,1120096;0,1330878
141;-0,04121664;-0,05427493;0,05298106;-0,01427086;-0,02039617;-0,02172397;0,0132952;-0,1149379;0,09128742
142;-0,02852723;-0,02000486;0,001032302;0,005022587;0,01285782;0,001864769;0,08493088;0,009827173;-0,1284959
143;0,1169133;0,01713527;-0,01640234;0,04706348;0,01849603;0,008987999;0,04540532;0,01632054;-0,08709074
144;-0,0212203;0,01576827;0,0001531618;-0,02231937;0,008703814;-0,009874181;-0,03327677;0,0116572;-0,03334391
145;-0,004040397;-0,004569354;0,008033892;-0,007823352;0,001025603;0,002940271;-0,1937035;0,0472111;-0,1983709
146;-0,03040242;0,0278153;0,02240125;-0,1926712;0,05326352;-0,08825163;0,1456639;-0,03886878;-0,2139418
147;0,01920334;0,07591243;-0,07227089;0,04271127;0,0217903;-0,0009545887;0,07032172;0,007464105;-0,2900129
148;0,09118004;0,4299842;-0,2712319;0,1140631;0,1444633;0,001142709;-0,07105894;0,7970561;-0,1977146
149;0,004256452;0,03557292;0,1148605;-0,1065875;0,05153038;-0,102993;-0,009529075;0,09787931;0,183138
150;-0,03442599;0,1226605;-0,08344047;-0,01470744;0,1802059;0,1929926;0,2196814;0,3611798;0,06821992
151;-0,03040763;-0,01143202;-0,0780428;0,03266774;0,1526954;0,118242;0,08152202;-0,02610367;-0,08294333
152;-0,07477915;-0,01809528;0,01929756;-0,0420321;-0,05405061;0,01895289;-0,02948324;-0,009653139;-0,002649059
153;0,009431032;0,009363446;0,03401652;-0,0001630664;0,006865955;0,006079723;0,3083994;0,7258945;0,2794782
154;-0,03571262;-0,01070278;0,01572851;0,03324816;-0,09201225;-0,02964238;0,02455985;-0,03486326;0,02011228
155;-0,008114323;-0,002635164;0,01107296;0,009944298;0,004951696;-0,02699038;-0,05261285;0,001024786;-0,005340835
156;0,00153022;0,02083322;-0,006553126;0,02208988;-0,0199869;-0,008345418;-0,02133706;-0,01943978;-0,0005834499
157;0,03552965;0,01642258;-0,001024257;0,02750954;0,006668979;-0,005566099;-0,005461088;0,009081529;0,01466109
158;-0,04209699;-0,008493059;0,009135737;0,01052451;0,05318715;-0,007581807;-0,04198039;-0,04654298;0,1225423
159;-0,0657289;-0,0215261;-0,02269479;-0,08379149;0,1419633;0,0431621;0,01267362;0,01351342;-0,02085474
160;0,0674172;0,008947057;-0,03083181;-0,07082091;-0,0851934;-0,1251638;-0,1110122;-0,06708585;-0,01991985
161;-0,05339197;-0,08651719;0,02989683;0,1231601;-0,06963249;-0,02605589;-0,02754732;0,01393497;-0,02444633
162;-0,00399362;0,03684581;-0,007483372;0,02509849;-0,001194354;0,004284344;-0,0004441503;-0,002226616;-0,02294119
163;-0,00815598;-0,01450521;-0,03273711;-0,01053935;0,0149836;-0,04508454;-0,2452795;-0,2172365;0,2192793
