Timestamp;HeadsetVelocityX;HeadsetVelocityY;HeadsetVelocityZ;LeftControllerVelocityX;LeftControllerVelocityY;LeftControllerVelocityZ;RightControllerVelocityX;RightControllerVelocityY;RightControllerVelocityZ
-0;-0,07065037;1,46502;0,1262967;-0,1031181;1,067028;0,04129962;-0,004741348;0,9964322;0,08853257
-0;0,03145006;0,04142916;-0,07557848;0,0105741;0,07432556;0,0252975;0,001750687;0,07579762;0,03072305
0;0,0006485016;0,05078119;-0,06450994;0,01238915;-0,08971258;0,03305335;-0,03248418;-0,05141159;-0,1286482
1;-0,02371779;-0,0003374453;-0,06157269;-0,1359746;-0,001088261;-0,1567251;-0,1735325;-0,01710848;-0,06879454
2;0,008566482;0,003971931;-0,05745175;0,003106281;0,01312278;0,005197912;-0,007450046;-0,002970388;0,001080725
3;-0,008202514;-0,0030948;0,03136125;-0,009066731;-0,002801699;0,004467094;-0,006443101;-0,0295256;-0,03457243
4;0,03014482;-0,08694421;0,104565;-0,006831723;-0,02687489;0,05205083;0,05719733;0,02077503;0,09601322
5;-0,007769642;-0,01477805;0,03747309;0,06046202;-0,0175403;0,06989846;0,08134076;-0,01003906;0,0006204277
6;0,03115666;0,007558599;-0,03138942;0,01612134;-0,008654171;-0,01794424;0,03858495;0,01529555;-0,01252901
7;-0,006077266;0,006118681;-0,01542794;-0,001773589;0,0004216812;-0,02796596;0,00461698;0,001488793;-0,03152928
8;-0,1432738;0,00440569;0,004594565;-0,1560188;0,01816815;-0,07535424;-0,181878;-0,01109518;0,09148519
9;-0,04009869;0,02308094;-0,1608282;-0,009474015;-0,02076086;-0,1179062;-0,1167616;-0,02475037;-0,09488194
10;-0,1531685;0,0229411;0,09204409;-0,05332202;0,02000275;0,08033712;0,01811984;0,0269349;0,09896753
11;0,1232138;-0,03378737;-0,004925948;0,1130665;-0,05134927;0,08937024;0,1499331;-0,01164225;-0,06229975
12;0,03189336;-0,02160968;0,01235502;0;0;0;0;0;0
13;0,04701693;0,07578795;0,06511439;0;0;0;0;0;0
14;-0,07427315;-0,04191141;-0,01429221;0;0;0;0;0;0
15;0,05145703;0,02169067;-0,006592805;0;0;0;0;0;0
16;-0,1953385;-0,5902097;0,1902297;0;0;0;0;0;0
17;0;0;0;0;0;0;0;0;0
18;0;0;0;0;0;0;0;0;0
