Timestamp;HeadsetPositionX;HeadsetPositionY;HeadsetPositionZ;LeftControllerPositionX;LeftControllerPositionY;LeftControllerPositionZ;RightControllerPositionX;RightControllerPositionY;RightControllerPositionZ
-0;0,01292391;1,501083;0,07794815;0,001745578;1,154196;0,1707629;0,08356123;1,072648;0,2182023
0;-0,06464907;1,502567;0,01637331;-0,05043923;1,126679;0,1799063;0,05365437;1,131573;0,06824041
1;-0,06594287;1,490394;0,03576476;-0,05066889;1,12514;0,1929113;0,08733638;1,145139;0,06764299
2;-0,06958859;1,473646;-0,04081953;0,02392962;1,129102;0,1690771;0,07075603;1,137429;-0,06680316
3;-0,00749568;1,50153;0,04802568;-0,06846501;1,153667;0,2385958;0,1298688;1,136822;0,08542278
4;-0,009852802;1,494179;0,1373309;-0,07107952;1,151132;0,2511888;0,1033099;1,137561;0,1826552
5;-0,006587374;1,489756;0,1216569;-0,06232219;1,143876;0,2309811;0,08512107;1,129359;0,1896335
6;0,0132396;1,488658;0,1253373;-0,05620829;1,138862;0,2359345;0,09907039;1,123368;0,1931188
7;0,03891761;1,480227;0,1052641;-0,05241621;1,138623;0,2299561;0,1626894;1,127657;0,1930274
8;0,04702716;1,465816;0,1175327;-0,05128151;1,132481;0,2317223;0,1682939;1,114262;0,1935779
9;0,02087117;1,467482;0,1382786;-0,05694556;1,136879;0,2348796;0,1301616;1,119319;0,2030149
10;0,02382421;1,439999;0,1282644;-0,06693178;1,140553;0,2141464;0,1412232;1,028791;0,279406
11;0,01610701;1,447334;0,1380515;-0,06210418;1,137636;0,2216869;0,1418085;1,036896;0,2721868
12;0,003294668;1,468475;0,1397263;-0,06076625;1,137872;0,2236509;0,1258728;1,037462;0,2693375
13;-0,005007687;1,489985;0,1241952;-0,05964789;1,139601;0,2185196;0,1276317;1,032824;0,2618769
14;-0,03613071;1,497191;0,111983;-0,05739627;1,141433;0,2151052;0,1229777;1,041298;0,2604131
15;-0,02463759;1,499499;0,1185888;-0,05741725;1,137641;0,2167589;0,1226519;1,041359;0,259032
16;-0,007448907;1,505184;0,1138105;-0,05795293;1,138104;0,2186711;0,1229128;1,040192;0,2577696
17;-0,009610802;1,505118;0,1136209;-0,05715019;1,137983;0,2193065;0,1209724;1,04018;0,2573802
18;-0,02522185;1,502056;0,1150827;-0,06097045;1,138611;0,2208127;0,1212464;1,042425;0,2574148
19;0,01316055;1,50243;0,1072298;-0,05915976;1,140007;0,22228;0,1201069;1,042041;0,2573146
20;0,00125935;1,497461;0,1124415;-0,06699681;1,133513;0,2345787;0,1196152;1,040575;0,2536852
