Timestamp;HeadsetPositionX;HeadsetPositionY;HeadsetPositionZ;LeftControllerPositionX;LeftControllerPositionY;LeftControllerPositionZ;RightControllerPositionX;RightControllerPositionY;RightControllerPositionZ
-0;-0,07065037;1,46502;0,1262967;-0,1031181;1,067028;0,04129962;-0,004741348;0,9964322;0,08853257
-0;-0,03920031;1,506449;0,05071826;-0,09254399;1,141353;0,06659712;-0,002990661;1,07223;0,1192556
0;0,04074208;1,540122;-0,0380767;-0,07014076;1,165076;0,07756555;0,07315396;1,159587;0,1200255
1;-0,01736796;1,512251;-0,07485954;-0,111992;1,17591;0,02060378;0,0008789329;1,152658;0,0845798
2;-0,0258012;1,513258;-0,1050155;-0,1403037;1,176416;-0,0335073;-0,06558836;1,144261;0,06582849
3;-0,02652707;1,513667;-0,09943987;-0,1337828;1,174385;-0,03309418;-0,0614808;1,134827;0,06747885
4;-0,01183682;1,527795;-0,06031377;-0,1314047;1,172798;-0,00948322;-0,05740902;1,139723;0,08498146
5;0,03585124;1,497294;0,004726755;-0,04089227;1,159715;0,1175191;0,08184685;1,132259;0,1203402
6;0,04126702;1,495996;0,0445129;-0,02008737;1,151068;0,1479579;0,1191848;1,130565;0,1329443
7;0,08324757;1,496609;-0,0426559;-0,004178476;1,158369;0,119889;0,1374336;1,142227;0,09318106
8;0,01744338;1,508034;0,009261512;-0,03950652;1,159643;0,09584547;0,09791272;1,13551;0,1185012
9;-0,04368003;1,515262;-0,07459307;-0,1375615;1,165589;-0,06756987;-0,1151157;1,128897;0,0553252
10;-0,05167821;1,507908;-0,1372628;-0,1624007;1,16238;-0,09771745;-0,1663502;1,123383;0,03729293
11;-0,05525029;1,505857;-0,003385755;-0,1317495;1,149464;0,07536031;0,003598401;1,134522;0,08828466
12;-0,02098854;1,447248;0,05129302;-0,1161699;1,125774;0,1479151;0,06521377;1,12881;0,1198813
13;0,02271312;1,450675;0,05255403;-0,1161699;1,125774;0,1479151;0,06521377;1,12881;0,1198813
14;0,0342269;1,474799;0,06764019;-0,1161699;1,125774;0,1479151;0,06521377;1,12881;0,1198813
15;-0,0238021;1,469029;0,02470351;-0,1161699;1,125774;0,1479151;0,06521377;1,12881;0,1198813
16;-0,08659616;1,307165;0,133651;-0,1161699;1,125774;0,1479151;0,06521377;1,12881;0,1198813
17;-0,1395285;1,194311;0,1534173;-0,1161699;1,125774;0,1479151;0,06521377;1,12881;0,1198813
18;-0,1395285;1,194311;0,1534173;-0,1161699;1,125774;0,1479151;0,06521377;1,12881;0,1198813
