Timestamp;HeadsetVelocityX;HeadsetVelocityY;HeadsetVelocityZ;LeftControllerVelocityX;LeftControllerVelocityY;LeftControllerVelocityZ;RightControllerVelocityX;RightControllerVelocityY;RightControllerVelocityZ
0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0
3;0,07923917;-0,02333497;0,0954105;0;0;0;0;0;0
4;0,006443995;0,03256737;-0,0102121;0,1860204;0,1780332;0,04122678;0,06145635;0,3723328;0,2983733
5;-0,01341792;0,005607;-0,02105094;0,004698975;-0,05280283;-0,05205795;-0,03794385;0,003717965;-0,006156538
6;0,03058031;-0,00780262;0,00325055;0,01827764;-0,02197738;-0,01702922;0,004278436;0,03025682;-0,04118266
7;0,02674977;0,0007911091;-0,01821305;0,001002842;-0,0006060916;-0,001357326;0,03302242;-0,004893392;0,01204049
8;-0,03829205;0,002336682;0,02605764;-0,0242955;0,007532161;-0,03360157;-0,1401667;0,01416988;0,01785893
9;-0,02956648;-0,0009006897;0,01283429;0,0003860099;-0,001007915;0,003321829;-0,03686394;-0,03961319;-0,004250397
10;-0,003859696;-0,003020795;0,003807014;-0,0002155418;-0,003119206;0,005558091;0,001164889;0,002717004;0,0004193171
11;-0,05332511;0,008506023;0,003743469;0,00712875;-0,004464154;-0,002260086;-0,004494317;0,004257321;-0,004044024
12;0,004218697;-0,002590877;0,0007702318;0,002960545;-0,003818134;-0,003830918;-0,001498916;-0,004909029;0,0003728646
13;0,00676835;-0,002138596;0,002984237;0,001521939;-0,001188583;0,001802044;0,00140159;0,01032661;-0,004128088
14;0,01965465;0,0002739735;-0,008816381;-0,002465761;-0,0006078787;0,005104897;0,0222047;0,004760289;0,001192213
15;-0,03307842;-0,02241175;0,03794756;-0,001044708;-0,0001174073;6,95747E-05;-0,002619922;0,003587445;-0,007342305
16;-0,0003940673;-0,004618286;0,003758795;-0,001256509;-0,001909979;0,002536624;-0,005073247;-0,002910035;-0,001508669
17;0,001512627;-0,003327409;-0,0004720179;-0,0003757093;0,001168403;-0,002529423;-0,003584584;0,002472273;-0,0008212688
18;-0,002316108;-0,0004778064;-0,0002943629;0,000108253;0,0002389032;0,001324633;-0,0008948206;-0,002069073;0,0006676491
19;-0,0034444;0,006554184;-0,003233915;0,0003583645;-0,0004274467;0,001351423;0,003385033;-0,00164934;0,00258411
20;-0,001005095;-1,720179E-05;0,0005418565;-0,0004800376;-0,001969605;0,00211152;0,003132877;0,005474471;-0,00652163
21;-0,01132601;0,005780623;-0,001213931;-0,01959845;0,0159117;0,005990438;0,001411971;-0,001794134;0,001034089
22;0,1700929;-0,06157948;-0,2181255;-0,09802455;-0,01198118;-0,07273674;0,05880519;0,02836947;-0,0199672
23;-0,07391802;0,02128829;0,03277296;-0,04431533;-0,03813938;0,03918669;0,004379489;-0,002077532;0,002620426
24;-0,01728594;0,005382553;-0,007271684;0,03207446;-0,05221422;0,002362967;-0,00804359;0,003032546;-0,002531441
