Timestamp;HeadsetVelocityX;HeadsetVelocityY;HeadsetVelocityZ;LeftControllerVelocityX;LeftControllerVelocityY;LeftControllerVelocityZ;RightControllerVelocityX;RightControllerVelocityY;RightControllerVelocityZ
1;0,9334925;0,3696303;-0,4934591;0;0;0;0;0;0
2;0,02955046;0,006919301;-0,01920193;0;0;0;0;0;0
3;0,007330669;-0,01012843;0,004241963;0;0;0;0;0;0
4;0,02262232;0,007938249;0,05029182;0;0;0;0;0;0
5;-0,01192821;0,003373202;0,0006592298;0;0;0;0;0;0
6;-0,01172687;-0,07829001;-0,0267901;0;0;0;0;0;0
7;-0,03568911;0,006710917;0,01473434;0;0;0;0;0;0
8;-0,3645038;-0,2253472;0,02941647;0;0;0;0;0;0
10;0,0003628437;-0,00048206;-0,001359949;0;0;0;0;0;0
