Timestamp;HeadsetVelocityX;HeadsetVelocityY;HeadsetVelocityZ;LeftControllerVelocityX;LeftControllerVelocityY;LeftControllerVelocityZ;RightControllerVelocityX;RightControllerVelocityY;RightControllerVelocityZ
1;0,1530694;0,04878297;0,002649187;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0
3;-0,1051832;0,0324191;0,09101932;0;0;0;0;0;0
4;-0,1015596;-0,03644016;-0,09111542;0;0;0;0;0;0
5;0,1649754;0,01219503;-0,02878853;0;0;0;0;0;0
6;0,0107505;-0,06143218;0,05404621;0,2147282;-0,24518;-0,6793678;-1,283941;0,2351142;-0,1160802
7;-0,01318491;-0,01739624;0,005869873;-0,05487661;-0,02473788;0,03246143;0,04840102;-0,05132056;0,01178461
8;-0,01935131;-0,004499457;0,02448742;-0,01850667;0,01039544;0,01655036;0,04113607;0,02775231;0,05627929
9;-0,0004339437;-0,0137032;-0,003632983;0,007630238;-0,0340107;-0,006350626;0,001454952;-0,01054814;0,01900924
10;-0,03114213;-0,05818084;0,01785956;0,01212154;0,004706488;-0,008756355;0,009688334;-0,007184702;0,01748941
11;-0,02709176;-0,002286215;0,001627433;0,01004761;-0,0138059;-0,006794401;-0,003454799;-0,007691608;0,002589715
12;0,02081885;-0,008608824;-0,009754903;-5,253165E-05;0,0003395986;0,002544867;-0,02376023;0,04539159;-0,01316581
13;0,03281787;-0,008548744;-0,009979695;0,003594358;-0,01141398;0,003285843;-0,01325546;-0,06075928;0,05747664
14;-0,06834267;0,03862521;-0,001733999;0,009973212;-0,00404108;-0,007904882;-0,02923802;-0,08863464;-0,0004592136
15;-0,01012271;0,001208802;0,004246948;0,00686488;-0,005118119;-0,004556583;-0,015753;0,01885216;-0,01609593
16;0,002897916;-0,002492359;7,56112E-06;0,004252427;-0,003892706;-0,0009228581;-0,001270804;-0,001190508;0,001435676
17;-0,08621435;-0,01030978;0,03601636;-0,005223497;0,005644627;0,002030715;-0,002315691;0,000878147;-0,001230672
18;0,0008816033;6,866153E-05;0,001612771;0,002365604;-0,002510437;0,002351657;-0,0009848638;0,0003218509;0,003021107
19;0,08084074;-0,001433551;-0,008603762;0,0001721773;-0,0007772266;0,0006325761;0,001568486;0,0003713416;-0,001328842
20;0,0007632726;0,00344752;0,001668297;0,003293765;-0,001187479;-0,001640764;0,003750774;-0,003162355;0,003862499
21;-0,08842134;-0,01004481;0,02945215;0,002595088;0,005308791;0,001842262;-0,01029059;-0,04086743;-0,06654903
