Timestamp;HeadsetVelocityX;HeadsetVelocityY;HeadsetVelocityZ;LeftControllerVelocityX;LeftControllerVelocityY;LeftControllerVelocityZ;RightControllerVelocityX;RightControllerVelocityY;RightControllerVelocityZ
0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0
6;0,03468191;-0,01157981;0,02100166;0;0;0;0;0;0
7;0,0008020652;-0,01474471;0,02975048;-0,08977666;-0,098721;0,09246735;0;0;0
8;-0,01027186;0,02717618;-9,161469E-05;-0,001123851;-0,0008235207;0,002565012;-0,03192947;-0,006307999;-0,03132138
9;0,004491122;-0,001528609;0,0004533024;-0,001246438;-0,001635256;0,004396973;0,01048697;0,02133832;0,04084141
10;0,09691716;-0,07786919;0,0002256497;-0,09822336;0,2087168;0,1550049;-0,05794458;-0,02823372;0,04878951
11;0,006506003;0,006690959;0,002449976;0,01734898;-0,006977343;-0,00448342;0,03406987;0,004686275;0,002485244
12;0,002152963;4,270163E-05;-0,00211969;0,008350838;-0,00629422;-0,003621098;-0,004266961;-0,003219703;-0,00182763
13;-0,05091936;-0,001075601;0,005074602;0,004324992;-0,02670502;-0,02462911;0,01615445;-0,003071917;0,007741101
14;-0,003369307;-0,002391587;-0,000794231;0,006228274;-0,009627449;0,00297421;0,0007342785;-0,001981352;-0,002107914
15;0,063568;-0,02861699;0,006516415;-0,001163578;0,002282362;0,0009854686;-0,1441269;-0,04500734;-0,06467298
16;-0,01077023;-0,01183212;0,008038604;0,008639627;-0,003555859;-0,03181605;-0,0118899;-0,02283751;0,00163125
17;0,001229608;-0,001883296;0,0007426908;-0,002966297;0,005469126;-0,005553201;0,0009195782;0,02502934;-0,01381364
18;0,003508955;-0,01122952;-0,001226817;-0,0008357601;0,001282144;0,0001043356;0,003957222;0,001140162;0,001778007
19;-0,01106406;0,03725782;-0,02045345;0,003243017;-0,02630246;0,03867804;0,00426612;0,02196752;-0,008999822
20;0,01255554;0,03728513;-0,05239134;0,01057631;-0,0007126683;-0,03061539;0,01325877;-0,02928648;-0,0007147644
21;0,003714288;-0,009430567;0,01335381;0,0003883671;-0,004554871;0,0005466689;-0,01025163;-0,001447934;-0,002820939
22;-0,0207707;-0,01892534;0,02768733;-0,0003977466;0,001133115;-0,00314613;-0,01375232;-0,02220906;0,007846246
23;-0,009724305;-0,00936872;0,01235007;-0,01342335;-0,003262018;0,00523903;-0,003484525;-0,02439274;0,009310164
24;0,02853369;-0,009977836;0,01291603;-0,02050988;0,02127814;0,03555081;0,0239591;-0,114317;0,01520094
25;-0,01687699;0,01187352;-0,006605288;0,004778266;-0,008212516;-0,006017152;0,04099662;0,2524071;0,09560964
