Timestamp;HeadsetVelocityX;HeadsetVelocityY;HeadsetVelocityZ;LeftControllerVelocityX;LeftControllerVelocityY;LeftControllerVelocityZ;RightControllerVelocityX;RightControllerVelocityY;RightControllerVelocityZ
1;0,000308491;-0,0008224554;0,0003054714;0;0;0;0;0;0
2;0,001019801;0,0009977407;0,002014424;0;0;0;0;0;0
3;0,00149761;-0,0009420618;0,001237285;0;0;0;0;0;0
4;0,0007931083;0,0003045364;0,0006573269;0;0;0;0;0;0
5;-0,0006032691;0,000132663;-0,0002848511;0;0;0;0;0;0
6;0,000277662;0,0006475894;0,0005631791;0;0;0;0;0;0
7;0,0008904162;-0,0002997075;0,0004094595;0;0;0;0;0;0
