Timestamp;HeadsetVelocityX;HeadsetVelocityY;HeadsetVelocityZ;LeftControllerVelocityX;LeftControllerVelocityY;LeftControllerVelocityZ;RightControllerVelocityX;RightControllerVelocityY;RightControllerVelocityZ
1;0,0847631;6,001658;0,1071288;0;0;0;0;0;0
2;0,2865568;0,1124029;-0,3416894;0;0;0;0;0;0
3;0,009850675;0,003812045;0,03293253;0;0;0;0;0;0
4;0,05948672;-0,04363762;0,2356392;0;0;0;0;0;0
5;0,1256449;0,01140714;-0,01926181;0;0;0;0;0;0
6;0,007903825;-0,00967552;0,0007740416;0;0;0;0;0;0
7;-0,1497172;0,03312104;0,2557083;0;0;0;0;0;0
8;-0,0929254;-0,08844236;-0,0253742;0;0;0;0;0;0
9;-0,006694369;-0,02102518;0,04472805;0;0;0;0;0;0
10;-0,01598341;0,0008877343;-0,008233194;0;0;0;0;0;0
