Timestamp;NormalizedGazeDirectionX;NormalizedGazeDirectionY;NormalizedGazeDirectionZ
-0;-0,3704719;-0,001637122;0,9288422
-0;-0,305425;-0,165743;0,9376805
0;0,02884883;0,1444792;0,9890872
1;-0,8256248;-0,105872;0,5541974
2;-0,9944001;-0,08151779;-0,06725491
3;-0,9967228;-0,07214034;-0,0365981
4;-0,9416846;0,08387601;0,3258757
5;0,3704408;-0,2296892;0,9000092
6;0,4895629;-0,252375;0,8346466
7;0,8865127;-0,2262936;0,4035919
8;-0,01625901;-0,1747592;0,984477
9;-0,9734848;-0,1322624;-0,1866388
10;-0,4682819;-0,1094968;-0,8767682
11;0,06797834;-0,2118005;0,9749459
12;0,1075236;-0,6565835;0,74655
13;0,07791355;-0,6441743;0,7609001
14;0,02897987;-0,4647694;0,8849574
15;-0,448917;-0,4849207;0,7505501
16;-0,0729631;-0,9737824;0,2154625
17;-0,1430287;-0,9790197;0,1451314
18;-0,1430287;-0,9790197;0,1451314
