Timestamp;NormalizedGazeDirectionX;NormalizedGazeDirectionY;NormalizedGazeDirectionZ
-0;-0,1627417;0,3481045;0,9232217
-0;-0,02712408;0,2289578;0,9730584
0;0,02610304;-0,0689506;0,9972785
1;0,1609806;-0,08554249;0,9832435
2;0,138023;-0,1257807;0,9824097
3;0,1319621;-0,1603984;0,9781914
4;0,1238257;-0,1769589;0,9763978
5;0,1383005;-0,1597464;0,9774222
6;0,2152594;-0,04339059;0,9755924
7;-0,134293;-0,05221634;0,989565
8;-0,6065741;0,05648585;0,7930178
9;-0,5920366;0,046894;0,8045456
10;-0,3911915;-0,02042035;0,9200827
11;0,3419944;-0,07035531;0,9370646
12;0,288541;-0,08277669;0,9538826
13;0,02031007;-0,08790924;0,9959214
14;0,03368532;-0,07258728;0,996793
15;0,1045172;-0,007986851;0,994491
16;0,1265513;0,1823405;0,9750573
