Timestamp;NormalizedGazeDirectionX;NormalizedGazeDirectionY;NormalizedGazeDirectionZ
1;0,009877343;-0,5364881;0,8438501
2;-0,1047902;-0,6107288;0,7848754
3;0,0004573474;-0,3683746;0,9296774
4;-0,3800856;0,1830037;0,9066668
5;0,08006548;-0,06235687;0,9948372
6;0,47184;-0,04032042;0,8807617
7;0,4615606;-0,1057124;0,8807876
8;0,5949779;0,2020884;0,7779214
9;0,4656073;0,1169901;0,8772247
10;0,5020655;0,06731777;0,8622056
11;-0,2411644;-0,2483665;0,9381651
12;0,1915881;-0,3626896;0,9120035
13;0,3759626;-0,5183554;0,7680885
14;0,6039497;-0,04660767;0,7956586
15;0,4850267;-0,02447616;0,8741568
16;0,4720097;-0,01831341;0,8814031
17;0,3615525;-0,06067436;0,9303754
18;-0,05102771;-0,07837294;0,9956173
19;0,1286807;-0,09387484;0,9872329
20;0,5817876;-0,05639681;0,8113831
21;0,2312233;-0,1596294;0,9597157
22;0,06772514;-0,2101091;0,9753294
23;-0,4060126;-0,1975452;0,892261
24;0,1062605;-0,2771113;0,954944
25;0,3017438;-0,2997359;0,9050465
26;0,3433565;-0,3289044;0,8797319
27;0,3856609;-0,3307572;0,8613161
28;0,2870634;-0,5137909;0,8084637
29;0,4983089;-0,1842062;0,847205
30;0,364493;-0,5432763;0,756304
31;0,3839449;-0,4333924;0,8153265
32;-0,1240097;-0,1487733;0,9810648
33;0,0203696;-0,1798142;0,9834897
34;0,2244599;-0,1730338;0,958998
35;0,07943521;-0,1594673;0,9840022
36;0,1210108;0,2868943;0,9502884
37;0,07811171;0,1910602;0,9784654
38;-0,09415356;0,0574626;0,993898
39;-0,01991857;0,02627829;0,9994562
40;-0,02559034;0,07453652;0,9968899
41;-0,02581436;0,07452758;0,9968848
42;0,1387191;-0,01970065;0,9901358
43;0,2709813;-0,03706399;0,9618708
44;0,4172863;-0,03196675;0,9082127
45;0,07156001;-0,1507025;0,9859858
46;-0,1781683;0,02334287;0,9837231
47;-0,166475;0,03397393;0,9854602
48;-0,131344;0,03593465;0,9906853
49;-0,09800974;0,0329203;0,9946408
50;-0,06326848;0,02295353;0,9977325
51;-0,05073488;0,006027904;0,9986939
52;-0,03353263;-0,0009010424;0,9994372
53;-0,02021885;-0,005421225;0,9997809
54;0,1298857;-0,05746013;0,9898626
55;0,6679055;-0,1176419;0,7348895
56;0,507598;-0,1102741;0,854508
57;0,4098936;-0,1128583;0,9051244
58;0,1827767;-0,1293522;0,9746079
59;0,2559858;-0,1448113;0,9557725
60;0,3899134;-0,1083121;0,9144594
61;0,1532952;-0,1028053;0,9828182
62;-0,01629592;-0,1091336;0,9938935
63;0,009483717;-0,1267258;0,9918925
64;0,09940614;-0,1353936;0,9857926
65;-0,03659691;-0,1712566;0,9845465
66;-0,01697926;-0,1845804;0,9826707
67;-0,003411544;-0,188263;0,9821127
68;0,0007358245;-0,1859024;0,982568
69;-0,0005004141;-0,1902646;0,9817327
70;0,002905368;-0,194016;0,980994
71;0,003850309;-0,1921039;0,9813671
72;0,07106113;-0,1403856;0,9875435
73;0,0509275;-0,3682193;0,9283431
74;0,07834925;-0,4638957;0,8824183
75;0,1969716;-0,3329996;0,9221244
76;0,1148678;-0,3819064;0,9170348
77;0,02784363;-0,3978063;0,9170468
78;0,06216482;-0,3003694;0,951795
79;-0,5909147;0,2303184;0,773158
80;-0,6594068;0,3269024;0,6769915
81;0,3140156;-0,4400951;0,8412553
82;0,2515048;-0,5177537;0,8177264
83;0,2210381;-0,4735249;0,8525939
84;0,2632625;-0,4555225;0,850407
85;0,105898;-0,2801895;0,9540856
86;0,1110549;-0,3404191;0,9336925
88;0,1834493;-0,256792;0,9488963
89;0,1704608;-0,2875432;0,9424765
90;0,1723383;-0,3292822;0,928371
91;0,143068;-0,34352;0,928184
92;0,1477545;-0,3166135;0,9369763
93;0,1541201;-0,4047106;0,9013636
94;0,1122914;-0,3623592;0,9252494
95;0,1036735;-0,4041198;0,9088119
96;0,1015993;-0,3519209;0,9304995
97;0,1026845;-0,3559107;0,9288614
98;0,1612451;-0,4464428;0,8801641
99;0,08558124;-0,3546807;0,9310625
100;0,119974;-0,2568284;0,9589815
101;0,09172169;-0,3109093;0,9460034
102;0,01938391;-0,271678;0,962193
103;-0,01058516;-0,2409653;0,970476
104;0,09779526;-0,3380579;0,9360304
105;0,07738112;-0,3234857;0,9430637
106;0,04745325;-0,306096;0,9508173
107;0,05442265;-0,3032156;0,9513667
108;-0,1377888;-0,2342043;0,9623734
109;-0,1062272;-0,2607029;0,9595571
110;-0,07158205;-0,2728712;0,9593838
111;-0,0620126;-0,2734121;0,959896
112;-0,02902046;-0,2925425;0,955812
113;-0,04390597;-0,2874276;0,9567955
114;-0,04049945;-0,2878142;0,9568295
115;-0,04665271;-0,2867913;0,9568564
116;-0,09631415;-0,2492036;0,9636499
117;0,00717683;-0,2342111;0,9721593
118;0,06981249;-0,2596569;0,9631742
119;0,01873557;-0,2849662;0,9583545
120;-0,03557146;-0,2775595;0,9600497
121;-0,04449701;-0,2727067;0,9610677
122;-0,04022061;-0,2727506;0,9612437
123;-0,03834759;-0,2734256;0,9611285
124;-0,03731135;-0,2733388;0,9611939
125;-0,03767581;-0,273677;0,9610835
126;-0,03957707;-0,2690955;0,9623
127;-0,03982418;-0,2738725;0,9609411
128;-0,04046783;-0,273251;0,9610912
129;-0,03747999;-0,2724808;0,961431
130;-0,03760206;-0,2732734;0,9612012
131;-0,01280642;-0,3854049;0,9226587
132;0,1420488;-0,3955444;0,9073956
133;0,6574543;0,09522754;0,7474527
134;0,3773733;0,1125981;0,9191904
135;0,6652154;-0,1178633;0,7372901
136;0,7027595;-0,1349059;0,6985195
137;0,704183;-0,1226628;0,6993427
138;0,6903991;-0,116823;0,7139338
139;0,6805034;-0,1466816;0,7179134
140;0,6675572;-0,1344042;0,732327
141;0,664149;-0,09917489;0,7409928
142;0,6585764;-0,09308006;0,7467351
143;0,6270897;0,02527482;0,7785369
144;0,6082233;0,05742369;0,7916862
