Timestamp;NormalizedGazeDirectionX;NormalizedGazeDirectionY;NormalizedGazeDirectionZ
1;0;0;1
2;0;0;1
3;0,2522835;-0,2902063;0,9231107
4;-0,9288116;-0,1039573;0,3556712
5;-0,818978;-0,3953734;0,4158786
6;0,3830559;-0,4072411;0,8291097
7;0,9125242;-0,1140258;-0,3928076
8;0,2836455;-0,1165823;0,9518161
9;-0,8693001;-0,1687055;0,4646027
10;-0,7897692;-0,157043;0,5929606
11;-0,8125601;-0,122704;0,5698157
12;-0,7901589;-0,1514374;0,5938987
13;-0,7720427;-0,1520422;0,6171169
14;-0,7458394;-0,1465012;0,6498162
15;-0,7359664;-0,1470113;0,660864
16;-0,7290275;-0,1500118;0,6678438
17;-0,7195971;-0,1457216;0,6789295
18;-0,7062336;-0,1415513;0,6936839
19;-0,7097735;-0,1419606;0,6899773
20;-0,6649116;-0,1280947;0,7358562
21;-0,8375648;-0,127436;0,5312678
22;-0,8111563;-0,1112063;0,574159
23;-0,3975222;-0,01282331;0,9175029
24;-0,4149829;-0,006085705;0,9098088
25;-0,4542872;-0,01504801;0,8907282
26;-0,4211473;-0,01103493;0,9069251
27;-0,4116089;-0,004645295;0,9113488
28;-0,4129633;0,01141241;0,9106762
29;-0,3935524;0,03027071;0,9188037
30;-0,5004279;-0,05117302;0,8642646
31;-0,4889866;-0,05811478;0,8703533
32;0,9570575;-0,09910138;0,2724335
33;-0,3581123;0,194858;0,9131188
