Timestamp;NormalizedGazeDirectionX;NormalizedGazeDirectionY;NormalizedGazeDirectionZ
0;0;0;1
1;0;0;1
2;0;0;1
3;0;0;1
4;0;0;1
5;0;0;1
6;0,2518819;0,02310975;0,967482
7;0,3845821;-0,3331275;0,8608848
8;-0,03968884;-0,1431389;0,9889065
9;0,03499804;-0,07436994;0,9966164
10;0,1213939;-0,2390621;0,9633861
11;0,2744921;-0,3021355;0,91289
12;0,2723376;-0,3037617;0,9129956
13;-0,002097034;-0,09122276;0,9958283
14;-0,2968334;-0,09807058;0,9498801
15;-0,1975844;-0,1576206;0,967531
16;0,07020722;-0,2846436;0,9560591
17;0,05786511;-0,3381545;0,93931
18;0,06249701;-0,3508105;0,9343587
19;0,394291;-0,1093041;0,9124622
20;0,5817721;0,05509049;0,811484
21;0,7062807;0,2136015;0,6749385
22;0,6718162;0,1119521;0,7322088
23;0,5567673;-0,03555952;0,829907
24;0,5020619;-0,0431938;0,8637524
25;0,5180673;0,009510425;0,855287
