Timestamp;HeadsetPositionX;HeadsetPositionY;HeadsetPositionZ;LeftControllerPositionX;LeftControllerPositionY;LeftControllerPositionZ;RightControllerPositionX;RightControllerPositionY;RightControllerPositionZ
1;-0,01233704;0,9122576;0,01999656;0;0;0;0;0;0
2;-0,01246666;0,9117009;0,01972267;0;0;0;0;0;0
3;-0,0118314;0,9121634;0,02035607;0;0;0;0;0;0
4;-0,01132304;0,9124064;0,02038733;0;0;0;0;0;0
5;-0,01153267;0,9117154;0,02010318;0;0;0;0;0;0
6;-0,0115236;0,9119722;0,02051519;0;0;0;0;0;0
7;-0,01117889;0,9120572;0,02091033;0;0;0;0;0;0
