Timestamp;HeadsetPositionX;HeadsetPositionY;HeadsetPositionZ;LeftControllerPositionX;LeftControllerPositionY;LeftControllerPositionZ;RightControllerPositionX;RightControllerPositionY;RightControllerPositionZ
1;0,006303261;0,9048238;-0,002940591;0;0;0;0;0;0
2;0,09831274;1,042135;-0,1548576;0;0;0;-0,1241031;0,8349613;0,1229773
3;0,0004982233;1,074229;0,0001090174;-0,2123432;0,8363734;0,1852401;-0,1241031;0,8349622;0,1229776
4;-0,07339935;1,132038;0,02757739;0;0;0;0;0;0
5;-0,06615791;1,112175;0,0131085;0;0;0;0;0;0
6;0,02049122;1,109722;-0,005228925;-0,02490473;0,9874928;0,5640577;0,6612775;0,8617085;0,4323457
7;0,0130219;1,097905;-0,01062763;0,09593295;0,9177387;0,3258311;0,2264427;0,927448;0,279938
8;0,01148317;1,12618;-0,02805864;0,09270409;0,9029193;0,3387792;0,2408808;0,9100679;0,2887541
9;0,0002899067;1,117296;-0,02164966;0,08902065;0,8985704;0,3497138;0,2344002;0,9122061;0,2797006
10;0,004793054;1,112177;-0,02207778;0,0876115;0,9001923;0,3429413;0,2319702;0,9097067;0,2803117
11;-0,04941496;1,080289;0,01197901;0,07678735;0,9114777;0,3452016;0,2195925;0,9079419;0,2777133
12;-0,01249442;1,068702;0,0149011;0,06547038;0,9177254;0,3532558;0,1817873;0,8867849;0,2917259
13;0,01265547;1,05209;0,008540682;0,06285922;0,9301975;0,3428837;0,2320076;0,8753187;0,09602229
14;0,007808783;1,108207;-0,01493643;0,05651202;0,9331993;0,3420842;0,1840888;0,8843177;0,1650497
15;-0,01085662;1,107444;-0,007175895;0,06847174;0,9233119;0,3409558;0,1951611;0,8664069;0,1665701
16;-0,01365377;1,107456;-0,007079147;0,07025644;0,9206454;0,3440838;0,1937052;0,8662775;0,166923
17;-0,02214947;1,10335;-0,003305611;0,07084993;0,9201882;0,3425148;0,1938754;0,8658667;0,1672629
18;-0,05516075;1,101565;-0,0006452509;0,06925856;0,9216365;0,3415895;0,1877871;0,8695365;0,1643339
19;-0,03918008;1,100744;-0,001944106;0,06974601;0,9211146;0,3416608;0,1889298;0,8685702;0,1653713
20;0,002989629;1,103713;-0,01593802;0,06933385;0,921112;0,3386811;0,1926828;0,8655476;0,1684367
21;-0,0281865;1,093808;0,0003140433;0,06861672;0,9212027;0,3379709;0,1899441;0,8680566;0,1678237
22;-0,04622505;1,088336;0,006244658;0,07160336;0,9208444;0,3351427;0,1798301;0,8714721;0,1577224
23;-0,1119387;1,084762;0,004432164;0,065786;0,9232348;0,3330318;0,1696167;0,8744117;0,1534817
24;-0,05530003;1,078791;0,01359423;0,06652566;0,9255558;0,3341996;0,1566999;0,8716965;0,1659487
25;-0,02458456;1,076817;0,01002984;0,06457846;0,9251144;0,3376879;0,1651415;0,8652699;0,1757579
26;-0,01582339;1,073932;0,00810034;0,06518964;0,9252869;0,3357621;0,1682439;0,8617774;0,1802222
27;-0,01050516;1,074282;0,005244099;0,06539177;0,9251814;0,3352662;0,1651817;0,8640753;0,1763337
28;-0,0172161;1,05086;0,01793733;0,06456929;0,92449;0,3339761;0,1361975;0,8809681;0,1104609
29;-0,01676439;1,089787;0,03033816;0,06204526;0,9265522;0,3392142;0,1754076;0,9366502;0,4053123
30;-0,01618194;1,046497;0,05439591;0,06162073;0,9253637;0,3376617;0,2248125;0,9133896;0,2214611
31;-0,01963592;1,062333;0,04761633;0,05686624;0,9294786;0,3412399;0,2186376;0,9281465;0,2869329
32;-0,0343762;1,092939;0,007499328;0,0502434;0,9106036;0,3748557;0,1290894;0,9116831;0,2993422
33;-0,02448948;1,088178;0,005650321;0,01198414;0,9303892;0,3781534;0,1022155;0,885325;0,2958269
34;-0,008981032;1,089684;0,004206742;0,01534574;0,931416;0,3748007;0,1111674;0,8928061;0,3039509
35;-0,02958057;1,093247;0,007242717;-0,189557;1,016801;0,2448567;-0,02056262;0,9042357;0,3495619
36;-0,05624604;1,129106;-0,02867742;-0,264994;1,032377;0,1754925;0,04126624;0,9546573;0,3336002
37;-0,05412218;1,119626;-0,03174476;-0,2129793;1,017436;0,2274053;0,02035895;0,9620028;0,3160332
38;-0,07988419;1,11074;-0,01772144;-0,1645649;0,89227;0,2638479;0,06214364;0,9014944;0,2785299
39;-0,06534288;1,107405;-0,0126129;-0,1141584;0,8596934;0,2671813;0,05718417;0,8798916;0,3056392
40;-0,0668775;1,111559;-0,01588666;-0,1140993;0,8587984;0,2679896;0,05444909;0,8741366;0,3074401
41;-0,06697108;1,111332;-0,01665268;-0,1147181;0,8582355;0,2685255;0,05371552;0,873857;0,3072045
42;-0,04445771;1,103257;-0,01181681;-0,1440369;0,8798535;0,2920682;0,05354545;0,8754244;0,307551
43;-0,03262266;1,101064;-0,01874971;-0,2666362;1,036091;0,1779849;0,07586258;0,8910596;0,3175321
44;-0,02222121;1,102768;-0,02526908;-0,2366046;1,032149;0,1717839;0,07801117;0,8883958;0,3138015
45;-0,04844299;1,091688;-0,008756953;-0,2293516;1,031233;0,1791316;-0,01962503;0,8858888;0,2803168
46;-0,06656542;1,107979;-0,01212067;-0,2340803;1,033614;0,1730935;0,0003386268;0,8954512;0,2706179
47;-0,06626841;1,108896;-0,01384044;-0,2495902;1,034732;0,170239;0,006500252;0,8901635;0,2591229
48;-0,06412643;1,108947;-0,01443329;-0,2432698;1,033235;0,1708817;0,007151367;0,8896907;0,2644385
49;-0,06104513;1,108325;-0,01589015;-0,2335527;1,031815;0,173859;0,008770723;0,8904013;0,2667573
50;-0,05777029;1,107489;-0,01689105;-0,2346285;1,031535;0,1698682;0,00881667;0,8901826;0,2674399
51;-0,05623069;1,105611;-0,01632865;-0,2286322;1,030059;0,1694618;0,0108412;0,8936918;0,2677649
52;-0,05596448;1,104993;-0,01729254;-0,2285597;1,031204;0,175886;0,01060782;0,893158;0,2679078
53;-0,05340923;1,104653;-0,01742532;-0,2280478;1,031408;0,1743253;0,01187452;0,8943409;0,2702271
54;-0,03838889;1,099489;-0,01749936;-0,2257805;1,028755;0,1765362;0,04068124;0,898445;0,3004042
55;0,01540251;1,094147;-0,03581781;-0,2165319;1,027209;0,1766115;0,1206083;0,9553812;0,2890905
56;-0,002167967;1,094739;-0,02914185;-0,2153471;1,025928;0,1757902;0,1317755;0,9522591;0,293797
57;-0,0116631;1,094672;-0,02241513;-0,219625;1,026801;0,1717589;0,08717568;0,930618;0,2979133
58;-0,0345971;1,092871;-0,01615245;-0,2198641;1,026954;0,1708462;0,06179971;0,9130418;0,2949869
59;-0,03063817;1,091425;-0,0147462;-0,2193853;1,026226;0,1734736;0,09860513;0,9134485;0,3181085
60;-0,01805624;1,095052;-0,02086877;-0,2176083;1,025913;0,1713024;0,0951622;0,9242632;0,3099208
61;-0,04114687;1,095018;-0,012647;-0,2191585;1,025645;0,1734201;0,04370177;0,911314;0,280717
62;-0,05630852;1,094347;-0,01015328;-0,217539;1,027031;0,1727019;0,03997799;0,9082868;0,2791699
63;-0,05229506;1,092491;-0,009787677;-0,2179853;1,027035;0,1745578;0,03948278;0,9048455;0,2824588
64;-0,0430236;1,091812;-0,01038445;-0,214619;1,025144;0,1739956;0,04459803;0,9095495;0,283967
65;-0,05921477;1,088191;-0,006575373;-0,2194414;1,025952;0,1708975;0,02165482;0,8855422;0,2764854
66;-0,05632582;1,086668;-0,005306148;-0,2108212;1,024262;0,1767207;0,02346798;0,8827085;0,2772733
67;-0,05395842;1,08643;-0,005247306;-0,2114219;1,023162;0,1730174;0,02666736;0,887729;0,2799018
68;-0,05341925;1,086535;-0,005584926;-0,212571;1,02241;0,1732473;0,0255472;0,886083;0,27903
69;-0,05337987;1,086144;-0,004880024;-0,2112727;1,023597;0,1733928;0,02746296;0,8891025;0,2784939
70;-0,05286752;1,085693;-0,004946346;-0,2118074;1,022942;0,1718611;0,02525343;0,887288;0,2777456
71;-0,05336887;1,086044;-0,00509767;-0,2106025;1,022895;0,1729791;0,0261966;0,8879219;0,2781831
72;-0,04678811;1,091238;-0,01149051;-0,1668215;0,9592044;0,2219079;0,03201932;0,8860594;0,293059
73;-0,05325034;1,068803;0,002172207;-0,1847506;0,9592108;0,2272202;0,02639205;0,8727102;0,3077043
74;-0,04823489;1,056971;0,004828058;-0,1730231;0,9570213;0,2267571;0,03350108;0,8775859;0,3059902
75;-0,04033303;1,072784;0,001212683;-0,09557494;0,8326237;0,3212101;0,1231695;0,8323753;0,2567859
76;-0,03433964;1,046518;-0,01657056;-0,1018732;0,8341802;0,3233755;0,1220889;0,8313613;0,2558608
77;-0,001649067;1,04912;0,001216971;-0,1055331;0,8392985;0,3356276;0,122441;0,8310295;0,2562379
78;-0,01380721;1,062821;-0,001576294;-0,1035474;0,837324;0,3305616;0,1225684;0,8306522;0,2564775
79;-0,08563589;1,111989;-0,04991167;-0,1027711;0,8366218;0,3314778;0,1230836;0,8314649;0,2553596
