Timestamp;HeadsetPositionX;HeadsetPositionY;HeadsetPositionZ;LeftControllerPositionX;LeftControllerPositionY;LeftControllerPositionZ;RightControllerPositionX;RightControllerPositionY;RightControllerPositionZ
0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0
3;0,0452219;1,164132;0,05053101;0;0;0;0;0;0
4;0,07889995;1,169269;0,09712438;-0,008043922;0,8660568;0,3470529;0,2130823;0,9415133;0,2983538
5;0,02818553;1,151941;0,1175527;0,06539197;0,9011087;0,3869956;0,2468289;0,933272;0,2943746
6;0,02754317;1,146806;0,1229652;0,07473788;0,8880045;0,3707521;0,2525619;0,9364438;0,2938841
7;0,07519122;1,140928;0,107295;0,07726198;0,8861202;0,3638205;0,3013447;0,9569377;0,2940737
8;0,07482663;1,138417;0,1106699;0,07765138;0,8856436;0,3645862;0,2869282;0,9495695;0,2967616
9;0,04651138;1,141525;0,1239308;0,07515718;0,8881491;0,3615059;0,2471597;0,9195815;0,2931072
10;0,0304337;1,142217;0,1288051;0,07410377;0,8885221;0,3619177;0,2456644;0,9171739;0,2944544
11;0,007252501;1,145606;0,1331235;0,0751901;0,8874047;0,3619387;0,2451128;0,9182005;0,2931043
12;0,005917639;1,143316;0,1349079;0,076693;0,8873038;0,3608765;0,2452179;0,9188936;0,2927977
13;0,003396531;1,144113;0,1353496;0,07615355;0,8879499;0,3607804;0,2429529;0,9167582;0,2932405
14;0,03969809;1,140712;0,1278312;0,07712214;0,8855904;0,3612507;0,2536863;0,9221612;0,2945817
15;0,03201504;1,128611;0,137782;0,07957913;0,8838513;0,361445;0,2489893;0,9211723;0,2933033
16;0,029323;1,121036;0,146076;0,07889627;0,8849288;0,3604487;0,2462323;0,9173179;0,2981768
17;0,02809389;1,119299;0,1471434;0,07841737;0,8847728;0,358616;0,2451833;0,9153557;0,2989925
18;0,02763338;1,120565;0,146597;0,07828848;0,8854954;0,3577469;0,243915;0,9156771;0,2990291
19;0,02620921;1,121684;0,1463478;0,07818103;0,88544;0,3578202;0,2430269;0,9140447;0,2995862
20;0,02283194;1,124165;0,1455552;0,07745632;0,8856088;0,3573435;0,2400488;0,9132106;0,3013418
21;0,0206718;1,124408;0,1455281;0,0761351;0,8870744;0,3601841;0,2395171;0,913112;0,3023388
22;0,1012388;1,11612;0,07721353;-0,09405888;0,9285214;0,3031925;0,2724093;0,9414788;0,2895827
23;0,1245429;1,111686;0,02374514;-0,1163992;0,9268814;0,2457646;0,2768267;0,9457984;0,2838643
24;0,09055226;1,121531;0,03685098;-0,09829851;0,9019476;0,2578364;0,2724744;0,9403607;0,2904215
25;0,07449494;1,130558;0,03058794;-0,03752023;0,890501;0,2712523;0,2674239;0,936661;0,2924533
26;0,0382376;1,153094;0,02069056;-0,0257062;0,9096027;0,2533319;0,2231924;0,9466662;0,2517917
27;-0,01406825;1,158339;0,0134268;-0,06587148;0,8727332;0,2747519;0,1438886;0,9292449;0,1107253
