Timestamp;HeadsetPositionX;HeadsetPositionY;HeadsetPositionZ;LeftControllerPositionX;LeftControllerPositionY;LeftControllerPositionZ;RightControllerPositionX;RightControllerPositionY;RightControllerPositionZ
1;0,0127417;0,9021772;0,01610374;0;0;0;0;0;0
2;0,07107729;1,003947;-0,0943174;0;0;0;0;0;0
3;0,1219627;1,022449;-0,1513038;0;0;0;0;0;0
4;0,1301254;1,016032;-0,1094121;0;0;0;0;0;0
5;0,3285745;1,01794;-0,1214982;0;0;0;0;0;0
6;0,3548911;1,030494;-0,2070242;0;0;0;0;0;0
7;0,3389486;1,071012;-0,06504907;0;0;0;0;0;0
8;0,03435583;0,9341113;0,05497162;0;0;0;0;0;0
9;0,02215219;0,9079514;0,04169207;0;0;0;0;0;0
10;0,01655581;0,9077032;0,04105411;0;0;0;0;0;0
