Timestamp;HeadsetPositionX;HeadsetPositionY;HeadsetPositionZ;LeftControllerPositionX;LeftControllerPositionY;LeftControllerPositionZ;RightControllerPositionX;RightControllerPositionY;RightControllerPositionZ
1;0,2127745;1,066096;-0,04390585;0;0;0;0;0;0
2;0,3889767;1,072336;-0,2442523;0;0;0;0;0;0
3;0,3911495;1,072377;-0,2457844;0;0;0;0;0;0
4;0,3987474;1,069098;-0,2270863;0;0;0;0;0;0
5;0,4019124;1,066042;-0,2316774;0;0;0;0;0;0
6;0,3995946;1,091667;-0,1844896;0;0;0;0;0;0
7;0,3973562;1,074728;-0,215576;0;0;0;0;0;0
8;0,07770621;1,047259;-0,01279124;0;0;0;0;0;0
10;-0,02166321;0,9198571;0,04082146;0;0;0;0;0;0
